Species,COI
Acanthoscina acanthodes,EF989700
Brachyscelus crusculum,EF989658
Brachyscelus globiceps,EF989660
Brachyscelus rapax,KC428934
Calamorhynchus pellucidus,EF989649
Cranocephalus scleroticus,EF989648
Cyathura sp.,AF520451
Cyllopus lucasii,KC428887
Cyllopus magellanicus,KC428888
Cystisoma gershwinae,KC428940
Cystisoma pellucida,KC428941
Glossocephalus milneedwardsi,KC428942
Glossocephalus sp.,KC428974
Hyperia macrocephala,KC428892
Hyperietta parviceps,EF989686
Hyperioides longipes,EF989685
Hyperoche capucinus,KC428895
Hyperoche martinezi,KC428947
Hyperoche medusarum,KC428948
Idotea sp.,KC428828
Iulopis loveni,EF989669
Lanceola loveni,KC428951
Lanceola pacifica,KC428952
Lanceola sayana,KC428953
Leptocotis tenuirostris,EF989653
Lestrigonus schizogeneios,EF989684
Lycaea nasuta,EF989647
Microphasma agassizi,KC428957
Mimonectes loveni,KC428958
Oxycephalus clausi,EF989652
Paraphronima gracilis,KC428960
Parapronoe cambelli,EF989657
Phronima bucephala,KC428962
Phronimella elongata ATL,EF989677
Phronimella elongata PAC,EF989678
Phrosina semilunata ATL,EF989670
Phrosina semilunata PAC,EF989671
Primno brevidens,KC428967
Primno evansi,EF989673
Rhabdosoma whitei,EF989650
Scina borealis,KC428970
Scypholanceola aestiva,KC428972
Scypholanceola sp.,KC428971
Streetsia challengeri,EF989651
Themsito japonica,KC428975
Themsito pacifica,KC428976
Thyropus sphaeroma,EF989661
Tryphana malmi,KC428978
Vibilia antartica,KC428928
Vibilia propinqua,KC428980
Vibilia viatrix,KC428981
