"","X12S","X16S","cytb","Red_list_status","Red_list_criteria","population_trend"
"Calotriton_arnoldi","DQ092300","DQ092282","DQ092240","CR","B2ab(iii,iv)","decreasing"
"Calotriton_asper","AY147258","EF107160","FJ403325","NT","","decreasing"
"Chioglossa_lusitanica","EU880308","EU880308","DQ821196","VU","B2ab(ii,iii,iv)","decreasing"
"Cynops_ensicauda","EU880310","EU880310","DQ821197","EN","B1ab(iii,v)","decreasing"
"Cynops_pyrrhogaster","EU880313","EU880313","AF295681","LC","","stable"
"Echinotriton_andersoni","EU880314","EU880314","EU880314","EN","B1ab(iii)","decreasing"
"Echinotriton_chinhaiensis","EU880315","EU880315","EU880315","CR","B1ab(iii,iv)+2ab(iii,iv)","decreasing"
"Euproctus_montanus","EU880316","U04697","DQ821199","LC","","stable"
"Euproctus_platycephalus","EU880317","U04699","DQ821201","EN","B2ab(iii,iv)","decreasing"
"Ichthyosaura_alpestris","AY147256","AY147257","EF089334","LC","","decreasing"
"Laotriton_laoensis","EU880328","EU880328","EU880328","EN","B1ab(iii,v)","decreasing"
"Lissotriton_boscai","DQ092287","DQ092268","DQ821219","LC","","stable"
"Lissotriton_helveticus","DQ092286","DQ092267","DQ821239","LC","","stable"
"Lissotriton_italicus","DQ092288","DQ092269","DQ821242","LC","","decreasing"
"Lissotriton_montandoni",NA,NA,"DQ821259","LC","","decreasing"
"Lissotriton_vulgaris","U04704","U04705","U55948","LC","","stable"
"Lyciasalamandra_antalyana",NA,"EU430958",NA,"EN","B1ab(iii)","decreasing"
"Lyciasalamandra_atifi","NC_002756","NC_002756",NA,"EN","B1ab(iii)","stable"
"Lyciasalamandra_billae",NA,"EU430969",NA,"CR","B1ab(iii)","decreasing"
"Lyciasalamandra_fazilae",NA,"EU430976","DQ473604","EN","B1ab(iii)","stable"
"Lyciasalamandra_flavimembris","EU880318","EU430979","DQ473605","EN","B1ab(iii)","decreasing"
"Lyciasalamandra_helverseni",NA,"EU430970","DQ473603","VU","D2","stable"
"Lyciasalamandra_luschani",NA,"EU430983","AY196286","VU","B1ab(iii)","stable"
"Mertensiella_caucasica","EU880319","EU880319","DQ821203","VU","B2ab(ii,iii)","decreasing"
"Neurergus_crocatus","AY147246","EF029977","AY336661","VU","B2ab(iii)","decreasing"
"Neurergus_kaiseri","AY147250","DQ092280","DQ092233","CR","A2d; B2ab(iii,v)","decreasing"
"Neurergus_microspilotus","AY147248","AY147249",NA,"CR","A3cde+4cde; B2ab(iii,iv,v)","decreasing"
"Neurergus_strauchii","AY147244","EU880321","DQ821204","VU","B1ab(iii)","decreasing"
"Notophthalmus_meridionalis","EU880322","EU880322","EU880322","EN","B2ab(iii,iv,v)","decreasing"
"Notophthalmus_perstriatus",NA,NA,"AF380363","NT","","decreasing"
"Notophthalmus_viridescens","U71233","DQ283421 ","AY691731","LC","","stable"
"Ommatotriton_ophryticus",NA,"EU483499","EU487627","NT","","decreasing"
"Ommatotriton_vittatus","AY725817","EU880338","AY336659","LC","","decreasing"
"Pachytriton_brevipes","DQ283447","DQ283446","EU880324","LC","","decreasing"
"Pachytriton_labiatus","AY079471","EU880325","DQ821205","LC","","decreasing"
"Paramesotriton_caudopunctatus","AY079457","EU880326","AY233152","NT","","decreasing"
"Paramesotriton_chinensis","AY079461",NA,"AY079478","LC","","decreasing"
"Paramesotriton_deloustali","AY079462","EU880327","AF295672","VU","B2ab(iii,v)","decreasing"
"Paramesotriton_fuzhongensis","AY079466",NA,"AY233139","VU","B1ab(iii,v)","decreasing"
"Paramesotriton_hongkongensis","AY593111","AY593125","AF295678","NT","","decreasing"
"Pleurodeles_nebulosus",NA,"DQ092266",NA,"VU","B2ab(iii)","decreasing"
"Pleurodeles_poireti","AY222467","DQ092263","AY222519","EN","B1ab(iii)+2ab(iii)","decreasing"
"Pleurodeles_waltl","AY522564","DQ283445 ","AY222514","NT","","decreasing"
"Salamandra_algira","DQ901439",NA,"AY247735","VU","B1ab(iii)+2ab(iii)","decreasing"
"Salamandra_atra","AY928616",NA,"U89502","LC","","decreasing"
"Salamandra_corsica","AY928618",NA,"DQ221245","LC","","stable"
"Salamandra_infraimmaculata","DQ221222","EU430954","DQ221242","NT","","decreasing"
"Salamandra_lanzai","DQ221224","EF191041","DQ221244","VU","D2","stable"
"Salamandra_salamandra","DQ283440","DQ283440 ","EU852738 ","LC","","decreasing"
"Salamandrina_perspicillata","AY928620",NA,NA,"LC","","stable"
"Salamandrina_terdigitata","AY928621","AY898736","AY898738","LC","","stable"
"Taricha_granulosa","EU880333","EU880333","AF295683","LC","","stable"
"Taricha_rivularis","EU880334","EU880334","AY691732","LC","","stable"
"Taricha_torosa",NA,"EF107218","L22701","LC","","unknown"
"Triturus_carnifex","U04702","U04703","EU030814","LC","","decreasing"
"Triturus_cristatus","DQ283441","EU880336","EU030895","LC","","decreasing"
"Triturus_dobrogicus",NA,"EF422226","EU030842","NT","","decreasing"
"Triturus_karelinii","DQ092290","DQ092271","DQ092223","LC","","decreasing"
"Triturus_marmoratus","AY147252","EF107162","DQ092231","LC","","decreasing"
"Triturus_pygmaeus","DQ092293","DQ092274","DQ821260","NT","","decreasing"
"Tylototriton_asperrimus","EU880340","EU880340","EU880340","NT","","decreasing"
"Tylototriton_kweichowensis",NA,NA,"EF627456","VU","B2ab(iii,v)","decreasing"
"Tylototriton_shanjing","DQ283395","DQ283395 ",NA,"NT","","decreasing"
"Tylototriton_verrucosus",NA,"AY336631","EF627476","LC","","unknown"
"Tylototriton_wenxianensis","EU880341","EU880341","EU880341","VU","B2ab(iii)","decreasing"
